SSN,Name,BirthDate,EmployedDate,Salary
128975,Haziq,1982-02-26,2021-11-27,53125
167683,Farah,1999-08-21,2012-04-03,54881
182113,Nurul,1983-11-08,2014-03-16,30416
118985,Aisyah,1988-03-14,2011-04-27,38342
131485,Farah,1997-10-11,2008-01-24,54133
186588,Izzah,1987-02-01,2013-02-07,58138
102670,Aisha,1991-01-13,2005-11-03,44099
114333,Aida,1989-04-02,2013-04-27,33725
116316,Izzati,1988-12-12,2019-05-07,52020
161156,Khadijah,1989-03-20,2022-01-16,40197
186123,Fauzi,1999-09-25,2019-12-08,58207
148022,Wan,1991-04-08,2004-11-06,56748
134352,Christopher,1982-05-25,2002-05-19,51966
137599,Azura,1989-08-11,2013-08-11,30401
153551,Soraya,1998-03-08,2009-03-13,60685
104265,Syafiq,1991-07-05,2020-06-24,49566
195434,Hayati,1982-12-12,2012-09-19,58128
161677,Auni,1999-08-19,2011-06-16,55077
184026,Izzah,1988-06-23,2010-08-15,36787
147253,Izzat,1990-09-18,2002-12-27,46777
129736,Nurul,1987-05-11,2001-10-04,55018
182137,Akmal,1997-04-21,2003-03-09,43792
141770,Firdaus,1989-10-27,2020-07-24,43997
125183,Syazwan,1989-01-17,2000-05-13,40483
189144,Adeeb,1994-06-12,2016-06-14,62176
152626,Adeeb,1993-10-21,2008-02-04,48520
192404,Syukri,1989-08-21,2002-08-18,42724
146550,Aziz,1995-09-17,2006-04-07,58317
194740,Nadira,1982-11-17,2013-12-21,39464
158839,Dayana,1989-05-07,2005-10-04,60250
159573,Christopher,1995-10-08,2000-05-24,36892
110375,Syukri,1983-12-14,2012-08-14,39468
154576,Jane,1985-04-08,2005-01-28,38560
111222,Farah,2000-08-21,2000-07-24,40790
156224,Rahman,1996-04-06,2004-02-22,42748
103976,Khadijah,1990-03-28,2004-05-19,61347
150987,Izzat,1980-03-19,2006-04-25,50561
156288,Qistina,1994-04-19,2008-11-01,34849
155167,Aisyah,1998-05-27,2010-07-18,32071
174347,Soraya,1995-01-12,2001-02-01,48417
149153,Ammar,1997-10-08,2002-02-01,62447
191010,Rifqi,2000-03-10,2011-04-28,31814
117200,Auni,1982-08-21,2002-04-05,61270
157536,Izzati,1991-12-12,2000-11-19,40631
176359,Qistina,1987-03-13,2016-10-08,47156
108794,Hasif,1980-11-04,2014-02-27,41931
189238,Zainal,1989-12-16,2008-09-04,42308
186594,Ilham,1984-08-21,2000-06-17,36780
114309,Syafiq,1983-05-18,2008-05-07,61179
162399,Wafi,1981-05-14,2017-05-28,61770
123051,Amir,1987-08-15,2009-08-27,49088
111269,Salmi,1988-09-27,2010-01-23,45324
161660,Zulaikhah,1995-04-12,2019-03-02,47210
168011,Aqil,2000-09-08,2017-10-11,30200
119404,Nurul,1993-06-23,2018-02-16,38643
183013,Wan,1997-01-10,2005-07-18,55453
197277,Syafiq,1994-03-22,2015-11-04,54444
130784,Aida,1982-01-15,2000-07-16,47727
173305,Nurul,1997-08-22,2016-10-23,35207
143166,Danial,1985-11-21,2004-01-10,47862
168462,Nurul,1990-12-04,2022-05-20,50014
188993,Syahirah,1996-11-27,2010-10-23,36285
144473,Arifin,1984-04-17,2020-07-10,58210
135926,Hadi,1994-05-03,2000-03-06,34988
128334,Afiq,1987-03-14,2001-08-25,40683
119757,Qistina,2000-07-26,2006-04-19,52990
163905,Akmal,1997-05-06,2020-07-01,50359
170042,Rahim,1991-11-28,2001-12-13,36382
175643,Aida,1992-03-05,2015-10-06,57289
155381,Syazwan,1993-11-11,2003-07-05,52391
174684,Farah,1994-08-13,2010-08-24,54100
171533,Auni,1986-01-16,2005-05-27,35085
148654,Syukri,1980-12-15,2022-05-09,61771
138750,Haikal,1988-03-07,2020-08-03,61098
177019,Nur,1984-06-09,2012-09-16,57312
187830,Matthew,1986-09-15,2000-03-19,47901
138845,Adeeb,1983-08-06,2019-05-26,34935
173445,Aina,1997-09-21,2006-09-18,39148
173653,Anis,1999-10-20,2003-05-18,32248
158187,Olivia,1998-11-10,2008-03-05,37291
191618,Matthew,1987-02-05,2022-09-26,44793
137392,Zaim,1999-11-11,2000-08-12,48101
171300,Alyssa,1989-12-01,2022-04-26,49446
155351,Nor,1987-07-12,2008-02-14,32595
117610,Aina,1989-04-17,2010-06-14,55250
128516,Nazri,1993-04-11,2019-08-07,53986
141173,Wan,1997-06-02,2014-07-07,30974
195584,Izzah,1983-12-18,2006-04-28,51859
102464,Zulkifli,1994-02-22,2014-07-04,38549
114663,Aiman,1992-07-07,2019-01-10,58491
134251,Akmal,2000-10-15,2017-05-10,57746
169798,Razak,1982-01-07,2013-05-08,53218
139314,Fikri,1989-09-06,2015-09-22,50881
175520,Ilham,1982-04-24,2005-12-19,40927
179495,Izzat,1984-04-26,2000-01-14,37727
187800,Syahirah,1991-07-16,2018-07-26,56799
106655,Lina,1998-04-20,2005-10-11,61721
114917,Wan,1986-03-09,2004-06-24,46955
182001,Razak,1990-06-19,2008-03-05,60166
143036,Aqil,1993-04-20,2016-04-14,53384
180559,Syazwan,1999-04-03,2017-03-12,44323
197381,Zulaikha,1991-09-16,2005-08-07,56557
196950,Siti,1992-02-09,2012-03-16,46302
199570,Akmal,1981-04-13,2005-10-09,46649
124270,Farah,1994-05-18,2018-10-19,41050
158989,Ikhwan,1990-02-02,2016-11-13,31123
106015,Zainab,1999-09-26,2020-06-14,58371
112554,Hasif,1982-12-24,2003-05-08,46742
132083,Maisarah,1997-02-25,2008-05-16,50798
103849,Aina,1980-10-24,2013-04-17,32687
154115,Syazwan,1983-04-02,2021-11-13,34778
162079,Izzati,1982-04-08,2019-03-08,36851
125540,Khadijah,1985-12-25,2003-06-19,39457
128794,Aqil,1996-06-04,2011-09-03,31525
105988,Afif,1984-03-25,2004-03-08,49088
158932,Farah,1988-02-11,2005-09-06,50912
173531,Hasif,1982-01-18,2003-11-14,32808
125801,Fikri,2000-02-28,2013-01-06,53887
198151,Nazri,1989-10-12,2020-12-26,44186
101823,Haikal,1988-06-11,2017-11-10,52363
141587,Nurul,1991-06-25,2008-12-01,32462
199528,Aina,1984-05-20,2020-09-08,37942
110042,Amsyar,1980-04-05,2004-07-19,56146
105336,Hamid,1983-08-21,2012-03-17,36945
132900,Eryna,1992-07-13,2008-11-26,47656
188183,Nashit,1986-06-13,2013-12-05,44756
119586,Izzah,1998-11-03,2013-12-16,35434
110934,Marissa,1982-03-14,2016-05-14,48025
127535,Olivia,1981-08-10,2012-03-09,48927
196561,Zara,1983-05-22,2004-07-25,34065
100825,Naim,1990-09-03,2011-02-27,55389
192208,Afiq,1987-01-10,2018-03-12,49845
170859,Salmi,1991-05-09,2022-01-23,33758
181571,Elina,1988-05-11,2011-08-16,38198
169566,Hakim,1992-02-22,2015-05-12,45216
121001,Ezra,1983-04-27,2012-11-15,35084
112748,Syafiq,1987-08-15,2017-08-09,52375
140843,Fadhilah,1983-08-08,2005-05-02,37516
190507,Olivia,1994-02-14,2015-10-04,60291
110127,John,1999-01-26,2001-11-07,37140
126766,Azfar,1991-05-23,2018-11-02,36821
199266,Arissa,1998-02-07,2013-05-12,40089
114842,Nurul,1992-08-26,2003-04-09,57717
151849,Azfar,1988-07-20,2000-11-17,55665
118292,Alya,1983-11-10,2007-09-04,47858
157222,Alyssa,1981-05-12,2022-10-18,33922
194339,Eryna,1995-12-07,2010-11-24,56252
153030,Amsyar,2000-12-02,2007-05-22,37465
140403,Imran,1993-11-05,2008-11-07,33382
158752,Rahman,1980-02-21,2004-09-16,50960
191118,Luqman,1999-10-26,2020-07-13,59728
162769,Nureen,1992-01-15,2022-03-20,33893
159926,Wan,1991-06-08,2019-04-20,46707
123922,Hadi,1998-04-07,2013-02-21,58798
199437,Luqman,1998-12-15,2009-08-06,41922
103666,Ezra,1989-07-09,2005-10-08,36072
189759,Ashraf,1994-09-09,2003-12-27,37203
124605,Suraya,2000-03-15,2005-08-26,37477
180732,Izzati,1992-05-13,2009-05-28,51575
117289,Khadijah,1986-04-10,2007-03-22,54444
100853,Zara,2000-06-16,2001-02-16,54223
160705,Liyana,1991-09-02,2008-07-01,51389
131636,Ili,1996-04-22,2007-04-14,55142
141454,Syukri,1993-03-28,2009-10-14,57786
179009,Hafiz,1992-01-08,2001-05-26,43141
167417,Nureen,1987-11-01,2015-05-15,58031
171053,Qistina,1993-03-04,2000-04-26,49904
170926,Liyana,1992-04-14,2000-03-08,32213
182164,Haikal,1980-02-10,2018-12-27,56477
178429,Syazwan,1998-07-14,2009-03-02,50640
167598,Haziq,1989-06-14,2006-11-05,34880
160849,Nurul,2000-02-23,2013-10-06,46506
189089,Aida,1981-01-19,2010-12-10,58424
158816,Arif,1991-04-18,2009-07-02,59330
157153,Emily,1982-11-16,2001-05-19,51629
130476,Akmal,2000-01-21,2011-12-19,54077
117184,Lina,1992-01-06,2010-03-23,33420
109190,Khadijah,1997-07-24,2011-07-07,41630
122888,Fatimah,1990-08-13,2007-10-22,48385
101282,Afif,1992-12-24,2019-02-26,50420
129483,Hadi,1984-12-09,2011-08-21,47068
198197,Nurul,1986-07-24,2016-03-17,47202
178674,Aminuddin,1990-04-09,2000-11-18,59986
197086,Izzati,1980-11-11,2020-09-19,60117
158230,Aiman,1993-07-20,2001-02-17,41068
144392,Zulaikha,1982-01-02,2013-07-19,47900
148882,Qistina,1993-08-12,2011-03-24,34028
145725,Zainal,1995-09-04,2022-03-21,50630
116996,Hafiz,1982-11-07,2016-10-02,54414
149837,Nurul,1981-04-13,2002-07-13,35290
140114,Alya,1998-07-01,2017-09-01,47925
193125,Aida,1988-01-04,2012-03-13,36175
172767,Syahirah,1995-02-27,2008-01-18,52344
183947,Zulaikha,1997-10-15,2016-11-15,30894
111097,Wafi,1982-11-11,2014-11-24,61105
165189,Nurul,1981-08-26,2007-06-21,49462
105160,Afiq,1997-02-02,2020-11-02,50596
164305,Nureen,1980-11-04,2005-05-08,47194
195495,Nurul,1990-03-21,2012-03-06,33545
161663,Irfan,1991-10-19,2013-01-10,48129
141820,Wan,1993-02-28,2019-05-23,39413
169283,Haziq,1984-06-14,2015-12-28,60639
103895,Diana,1998-10-18,2003-05-06,54322
189570,Soraya,1983-10-10,2000-03-13,43165
102288,Imran,1981-07-26,2003-04-06,36698
135346,Fikri,1999-05-02,2002-10-17,41752
135563,Aisyah,1986-08-23,2012-08-11,51051
103215,Haziq,1980-02-02,2014-05-21,60345
141636,Rahman,1982-12-09,2001-11-19,42220
141200,Fikri,1995-05-07,2022-01-06,41027
143880,Arifin,1982-07-17,2009-11-12,59551
187025,Nashit,1990-08-04,2005-07-13,54515
164258,Hadi,1993-04-08,2011-10-25,44092
116566,Syukri,1990-03-05,2009-10-13,40104
177860,Suraya,1998-05-18,2010-12-03,32950
105012,Aina,1981-07-24,2015-12-06,35647
167997,Syafiq,1994-05-04,2000-10-10,52115
178741,Ilham,1986-04-13,2000-11-27,40389
113468,Aqil,1999-01-19,2012-01-05,58804
146316,Aisyah,1998-03-18,2018-06-19,45207
159350,Hayati,1995-06-27,2019-10-21,48575
109452,Razak,1981-08-19,2019-07-26,40440
120535,Zulkifli,1983-11-12,2013-06-07,35880
146064,Luqman,1985-01-23,2004-04-26,41804
139959,Zaim,1990-11-13,2001-02-06,50894
193689,Adnan,1987-04-06,2000-07-06,37542
190995,Siti,1991-09-13,2018-08-21,35693
164664,Zara,1999-12-23,2022-08-02,59621
112333,Ili,1993-12-04,2015-01-07,34036
111359,Hakimi,1984-09-05,2015-02-24,42977
153587,Kamil,1991-03-05,2018-03-24,48718
147859,Aqil,1998-12-01,2008-07-20,30664
189209,Nadia,1984-11-21,2015-11-06,51771
138861,Amira,1997-11-07,2009-10-02,60181
100446,Azfar,1995-08-18,2000-05-02,41684
129478,Ain,1999-10-14,2020-01-26,42579
185883,Aqil,1982-05-03,2014-01-01,54930
199846,Hafiz,1996-09-16,2017-08-28,38723
151294,Sophia,2000-03-03,2008-11-01,61008
149508,Fauzi,1997-10-16,2010-05-17,54635
162867,Nurul,1980-07-07,2005-10-10,35024
131210,Irfan,1989-08-02,2005-02-12,33259
197436,Jane,1982-08-20,2014-12-01,48889
179527,Arifin,1997-11-04,2001-09-08,43740
120903,Amsyar,1999-02-01,2014-02-07,59304
127749,Izzati,1989-01-08,2021-05-27,52538
190089,Christopher,1990-02-24,2013-12-12,60391
196828,Nadia,1990-02-01,2011-07-21,44491
129266,Emily,1994-12-05,2007-07-05,34634
138555,Fadhilah,1983-05-25,2009-11-05,61010
106806,Arif,1994-03-09,2011-09-22,38792
117563,Syafiq,1993-05-04,2009-08-26,56964
131081,Syazwan,1998-05-13,2015-08-15,57094
160291,Ikhwan,1999-02-02,2000-07-14,45233
188009,Aida,1998-02-06,2022-08-07,58888
153916,Ikhwan,1993-09-28,2000-07-24,59301
187505,Ikhwan,1986-06-19,2005-09-08,42395
166651,Jane,1989-08-27,2021-09-13,61286
152264,Adeeb,1983-06-24,2016-01-26,55609
198819,Syukri,2000-09-12,2009-01-02,61873
114548,Ammar,1998-01-21,2019-04-27,56951
109024,Izzati,1996-12-09,2004-02-22,41493
127546,Syed,1997-05-17,2015-06-12,46472
175809,Sophia,1996-08-24,2000-07-03,36548
154777,Wafi,1996-10-24,2013-04-15,40014
112469,Rizal,1982-02-17,2020-03-28,53475
178105,Hamid,1995-01-11,2000-06-13,53777
142240,Wafi,1982-09-21,2000-04-09,37155
162005,Afiq,1997-02-13,2020-06-26,36047
190088,Zara,1996-09-02,2005-10-23,30342
117784,Syahirah,1985-04-14,2010-06-06,35750
178063,Aiman,1993-02-22,2000-08-25,35780
190035,Nurul,1999-05-12,2012-04-21,62338
113657,Soraya,1995-03-23,2018-11-28,54296
108726,Hakimi,1998-11-08,2015-05-06,37372
194214,Farah,1989-04-14,2012-10-21,45143
102565,Rahim,1986-06-26,2021-04-17,38916
154360,Haikal,1987-01-28,2018-10-11,49356
164227,Harith,1999-03-05,2001-12-10,51647
152569,Fikri,2000-04-13,2006-03-10,44709
112505,Sofia,1983-06-15,2006-08-13,39472
130056,Ikhwan,1995-07-06,2012-03-09,57619
124346,Aziz,1984-05-19,2016-05-07,43217
162168,Ain,1994-10-12,2016-12-06,33897
189906,Nadia,1982-06-15,2002-12-07,30184
194606,Fatin,1999-09-15,2001-05-04,58220
118711,Hafiz,1985-10-09,2015-08-26,39811
178923,Aishah,1995-08-12,2013-02-23,30196
124444,Matthew,1983-02-19,2001-08-13,31801
139679,Amir,1992-07-23,2021-03-19,41861
192185,Nureen,1996-07-27,2010-10-11,58680
199215,Nurul,1989-10-17,2004-05-27,58922
119662,Abidin,1983-10-05,2010-03-03,46308
179109,Arissa,1996-12-04,2021-02-08,40914
109985,Ismadi,1988-02-12,2006-01-11,39825
179933,Ismadi,1986-12-07,2000-07-28,59667
129653,Wan,1986-06-26,2009-05-22,56033
112093,Rahim,1999-06-10,2017-09-21,31253
118046,Lutfi,1998-12-25,2016-11-27,35313
100462,Akmal,1994-02-09,2008-05-12,50598
158553,Syafiq,1998-05-11,2021-12-21,59622
120811,Ashraf,1984-10-14,2015-11-23,60500
138259,Christopher,1993-02-27,2008-10-05,37118
147914,Nurul,1986-09-03,2020-09-04,52521
156705,Ezra,1989-05-25,2018-02-09,56476
142238,Farah,1995-10-15,2014-07-02,61587
148187,Aziz,1988-07-01,2003-11-11,33895
143204,Salmi,1984-09-27,2010-08-02,50981
172721,Aqil,1988-11-06,2002-08-20,38837
178992,Sofia,1987-10-25,2014-09-20,57360
135652,Nureen,1984-07-18,2016-07-14,49867
169075,Nureen,1996-09-04,2002-09-01,62437
129889,Zulkifli,1989-03-26,2009-05-22,35290
151030,Hakim,1994-11-04,2017-10-06,52154
142611,Emma,1985-04-15,2010-02-16,46260
157354,Hakim,1989-04-23,2016-05-10,47325
173962,Lina,1990-12-22,2000-07-09,50138
109513,Dayana,1997-05-26,2000-05-14,57295
137726,Sophia,1990-11-06,2020-07-09,59373
159590,Emily,1993-02-20,2014-12-28,55707
177438,Hafiz,1995-02-24,2009-01-14,45730
166930,Nureen,1988-05-19,2021-11-11,33231
194840,Sofia,1985-05-17,2008-01-08,42256
146377,Nor,1981-04-10,2007-08-06,35763
122227,Nadia,1983-09-02,2001-12-15,49019
133858,Alya,1995-07-14,2019-09-17,44356
126058,Hayati,1983-03-11,2005-05-12,40193
199396,Rizal,1988-06-12,2000-01-12,38714
182913,Ammar,1986-08-18,2017-02-27,59487
167631,Amira,1997-06-03,2008-07-07,53427
187941,Aiman,1989-02-17,2002-09-10,30589
120572,Soraya,1998-07-01,2007-07-12,39542
126997,Abidin,1981-11-19,2007-07-10,52955
180852,Afif,1986-10-06,2009-11-16,37565
155503,Liyana,1990-05-19,2009-04-28,39587
161112,Aqil,1993-01-14,2009-02-15,60007
147377,Diana,1995-09-20,2006-01-04,38377
179632,Aina,1994-06-28,2004-06-08,44804
164584,Amin,1981-09-11,2009-12-11,58378
119031,Imran,1992-10-13,2000-08-10,52349
122287,Ilham,1982-02-02,2004-11-02,57995
170507,Ezra,1990-06-02,2009-01-27,32946
137377,Diana,1991-07-13,2012-04-04,33741
166288,Rayyan,1990-10-23,2009-03-01,46567
129548,Dayana,1990-04-06,2002-09-07,38293
147038,Ahmad,1994-08-09,2005-08-19,51147
145247,Imran,1980-01-04,2014-05-17,51229
104875,Nor,1991-06-01,2021-10-12,58502
195674,Izzah,1998-07-05,2019-01-17,31146
190833,Nadia,1988-12-25,2019-03-06,48765
166926,Haikal,1991-09-17,2005-03-26,47157
151709,Aishah,1984-11-12,2020-11-08,43710
189189,Lutfi,1992-12-13,2001-02-13,53684
112599,Aisyah,1995-10-25,2008-02-17,36634
114277,Haziq,1997-07-04,2018-05-24,49914
182440,Nurul,1988-02-07,2013-03-17,58082
148302,Akmal,1984-06-21,2006-09-02,41342
179151,Suraya,1997-01-10,2013-12-03,58214
109168,Lutfi,1988-04-16,2011-04-20,44325
156077,Zainal,1983-02-11,2008-05-20,33867
133794,Salmi,1990-08-09,2010-06-20,42068
194469,Sofea,1988-03-28,2012-10-15,35591
167486,Anis,1997-01-28,2013-09-07,42049
180573,Ahmad,1991-09-15,2021-05-20,46245
155892,Rizal,1986-03-16,2002-02-06,37376
159782,Aqilah,1986-08-27,2021-04-10,53998
128648,Ezra,1985-08-03,2019-05-11,32134
136506,Hakimi,1992-06-04,2022-11-23,30942
113433,Wan,1990-11-25,2007-03-02,62113
143382,Aminuddin,1981-07-27,2001-01-15,39417
171949,Ahmad,1994-04-11,2013-02-27,36951
152682,Azura,2000-10-21,2005-10-04,37916
156298,Wan,1985-07-11,2001-07-25,62340
182471,Adnan,1980-04-04,2017-06-18,48058
165974,Zulaikhah,1983-09-27,2003-11-02,36285
113954,Nurul,1994-08-22,2021-03-07,32873
194523,Amir,1999-01-24,2004-11-16,31913
101046,John,1999-11-14,2022-11-28,53301
133371,Rizal,1987-01-08,2010-04-14,60796
129077,Hayati,1999-11-01,2004-10-27,57140
113668,Syahirah,1998-04-24,2014-08-10,39263
121767,Wafi,1984-05-05,2009-08-23,60889
137534,Azfar,2000-07-09,2016-12-08,39890
123464,Syed,1992-10-17,2009-01-11,62127
121997,Alya,1998-06-13,2022-04-17,40836
129045,Zara,1988-12-09,2007-06-16,48489
154300,Elina,1996-08-25,2001-04-04,32377
162482,Abidin,1995-08-03,2010-04-23,53417
132435,Hafiz,1981-10-19,2004-11-20,39122
175751,Hasif,1991-06-03,2010-12-24,62460
140436,Farah,1981-08-15,2022-07-11,46953
197727,Alyssa,1994-01-06,2019-04-20,57243
115918,Rifqi,1986-01-15,2015-09-19,52367
105177,Anis,1997-08-28,2000-04-20,43879
113753,Nurul,1989-05-16,2003-01-08,48342
113727,Ezra,1993-07-27,2017-10-12,62479
108788,Farah,1989-12-26,2020-10-15,45403
110665,Ahmad,1995-02-21,2015-11-04,51457
109017,Zara,1992-04-09,2019-04-11,52870
101790,Azfar,1994-09-06,2021-01-05,38292
162370,Siti,1982-02-23,2000-09-27,59776
109296,Elina,1986-12-22,2008-07-01,50055
151192,Ismadi,1994-02-02,2016-06-16,31760
148919,Aisyah,1981-08-23,2007-04-25,38810
103363,Jane,1983-01-23,2019-08-20,31488
119795,Lutfi,1995-03-02,2006-10-09,58591
151608,Hafiz,1981-03-05,2001-11-08,53618
130821,Fadhilah,1993-02-27,2003-09-07,41280
174536,Emma,1981-01-17,2017-02-06,56990
184370,Abidin,1985-01-06,2005-08-22,38400
117769,Aziz,1989-07-22,2012-11-08,55837
168259,Danial,1994-03-28,2021-01-26,42896
146896,Danial,1997-02-02,2004-10-24,42486
141761,Amsyar,1980-10-10,2003-11-24,57834
117416,Izzat,1997-08-14,2003-01-28,30131
195208,Haziq,1987-09-19,2012-10-28,55145
176010,Nurul,1997-06-06,2006-05-15,39931
159421,Sophia,1986-08-15,2020-11-25,48625
151338,Danial,1981-10-24,2004-06-25,57941
100541,Michael,1983-06-09,2010-03-01,60463
146291,Syazwan,1986-08-17,2015-05-25,38602
112949,Zulkifli,1991-06-11,2013-07-10,40998
181713,Ismail,1990-09-13,2008-05-28,45378
156143,Zaim,1994-05-14,2010-02-10,49830
186206,Arissa,1982-12-27,2003-09-10,33887
139700,Syed,1986-12-24,2011-11-04,34487
191130,Aina,1993-03-03,2010-11-21,59622
164025,Nurul,1986-06-27,2007-07-24,45487
195488,Izzati,2000-11-14,2004-06-20,59568
149231,Nur,1993-09-25,2008-08-28,49920
147613,Zulaikhah,1997-03-26,2022-12-19,50926
112869,Fatin,1984-09-18,2014-08-09,46540
120293,Marissa,1993-10-20,2014-05-20,57090
161353,Izzah,1997-02-13,2001-11-12,57258
135252,Zulkifli,1983-01-20,2010-02-25,56995
161815,Abidin,1994-05-13,2010-11-15,57690
172849,Luqman,1980-02-11,2010-09-17,47427
144552,Nashit,1984-07-12,2014-03-23,55786
139123,Kamil,1982-07-07,2018-03-25,45876
112513,Christopher,1988-12-19,2015-10-19,45243
194354,Rahim,1999-06-06,2021-04-08,35088
171028,Alya,1987-06-21,2016-02-18,34209
100887,Fauzi,1991-07-15,2005-12-23,42631
142064,Aiman,1984-03-15,2008-12-21,47218
149166,Azura,1984-05-16,2004-04-27,46108
196375,Syazwan,1986-04-17,2005-01-09,38551
139178,Farah,1989-09-05,2022-06-15,60317
135465,Hafiz,1993-08-12,2022-04-12,40459
169814,Zara,1981-02-12,2005-07-14,52651
155593,Syed,1994-09-20,2004-02-16,55110
130377,Aqil,2000-11-26,2010-11-14,41099
133458,Diana,1990-12-18,2001-12-18,38681
149155,Aisy,1999-01-05,2002-06-07,44572
120854,Afiq,1990-10-27,2002-11-10,58969
181487,Aina,1996-05-04,2021-02-19,42898
177836,Kamil,1992-05-18,2022-06-19,42994
112097,Ismadi,1989-01-04,2020-01-19,50060
138797,Naim,1980-11-14,2000-12-12,36041
116519,Sofia,1996-12-03,2011-08-22,44750
181264,Amir,1987-06-23,2016-03-10,48001
194617,Qistina,1982-08-11,2022-11-15,58455
190354,Nur,1981-01-17,2003-08-22,40835
176078,Kamil,1996-02-01,2011-02-21,57127
178405,Salmi,1992-03-19,2007-10-25,50997
195267,Alya,1995-10-06,2005-10-19,60659
147910,Hayati,1981-05-05,2014-05-28,52891
181142,Ikhwan,1984-12-16,2003-11-01,40898
185344,Eryna,1987-05-12,2007-05-13,56105
156294,Aqil,1996-11-10,2017-09-07,52047
183167,Naim,1994-06-05,2004-10-17,44686
192731,Nadia,1994-06-27,2010-04-19,52035
